screen_id,screen_name,parent_screen,purpose,main_elements,primary_actions,notes,mvp
1,app_launch,root,起動時の振り分け,ローディング/初回判定,初回ならtutorialへ_通常ならhomeへ,実画面というより分岐ロジック,TRUE
2,tutorial,app_launch,遊び方の導入,タイトル/説明文/開始ボタン,次へ進む,説明は短く3ステップ以内,TRUE
3,tutorial_egg,tutorial,タマゴ表示と最初の目標提示,タマゴ画像/説明文/達成数0-3/タスクへボタン,タスク画面へ移動,まずは3タスク達成を案内,TRUE
4,birth_event,tasks,タマゴ孵化演出,光エフェクト/タマゴ/誕生したスライム/続けるボタン,ホームへ進む,チュートリアル完了演出,TRUE
5,home,root,メイン画面,モンスター画像/LV/EXPバー/今日のEXP/属性バー/未達成タスク3件/連続ログイン/下タブ,未達成タスクタップ/下タブ遷移,モンスターは通常静止でOK,TRUE
6,tasks,root,今日のタスク達成,タスク一覧/属性アイコン/チェック状態/簡易モンスター情報/下タブ,タスクを1件ずつ完了/下タブ遷移,達成時はポン効果音+EXP表示,TRUE
7,dex,root,図鑑一覧確認,カテゴリ見出し/モンスターカード一覧/未取得???/下タブ,モンスター詳細を見る/下タブ遷移,カテゴリはタマゴ/スライム/child/adult/final/レア,TRUE
8,dex_detail,dex,モンスター詳細確認,モンスター画像大/名前/属性/説明/さいごのことば/戻る,図鑑一覧へ戻る,未取得は遷移不可,TRUE
9,settings,root,基本設定変更,BGM音量/効果音音量/タスク設定導線/ヘルプ/プライバシーポリシー/下タブ,スライダー変更/タスク設定へ/下タブ遷移,まずは最低限の設定だけでOK,TRUE
10,task_settings,settings,現在のタスク管理,現在タスク一覧/タスク数表示3-15/追加ボタン/削除ボタン/入れ替えボタン/戻る,追加へ/削除へ/入れ替えへ/戻る,設定画面から分離するのが前提,TRUE
11,task_add,task_settings,新しいタスク追加,おすすめタスク/カテゴリタブ/追加可能タスク一覧/属性アイコン/追加ボタン/件数表示,タスク追加/戻る,表示形式はAパターンでシンプル,TRUE
12,task_remove,task_settings,現在タスク削除,現在タスク一覧/削除ボタン/件数表示/戻る,タスク削除/戻る,最低3件は残す,TRUE
13,task_reorder,task_settings,タスク並び替え,現在タスク一覧/ドラッグハンドル/保存ボタン/キャンセル,並び替え/保存/戻る,ホーム表示順にも影響,TRUE
14,evolution_event,tasks,進化演出,進化前モンスター/光エフェクト/進化後モンスター/閉じるボタン,閉じる,モンスターの大きな演出はここだけ,TRUE
15,letter_event,evolution_event,最終進化後の旅立ち演出,短い一言メッセージ/新しいタマゴ/閉じるボタン,閉じる,FALSEはMVP後回しでもよい,FALSE
16,help,settings,簡易ヘルプ,短い説明文/戻る,戻る,後で実装でも可,FALSE
17,privacy,settings,プライバシーポリシー表示,テキスト/戻る,戻る,リンクでも可,FALSE
