判定ID,判定種別,対象進化段階,対象属性,進化先モンスターID,進化先モンスター名,必要LV,必要連続日数,追加条件,優先度,備考
1,通常進化,baby,癒し,2,ピンクスライム,5,0,癒し属性が最多,10,タマゴから通常進化
2,通常進化,baby,パワー,3,ブルースライム,5,0,パワー属性が最多,10,タマゴから通常進化
3,通常進化,baby,知識,4,グリーンスライム,5,0,知識属性が最多,10,タマゴから通常進化
4,通常進化,baby,創作,5,パープルスライム,5,0,創作属性が最多,10,タマゴから通常進化
5,通常進化,child,癒し,6,ミニフェアリー,20,0,現在モンスターがピンクスライムかつ癒し属性が最多,10,通常進化
6,通常進化,child,パワー,7,プチドラ,20,0,現在モンスターがブルースライムかつパワー属性が最多,10,通常進化
7,通常進化,child,知識,8,プチビースト,20,0,現在モンスターがグリーンスライムかつ知識属性が最多,10,通常進化
8,通常進化,child,創作,9,ミニスピリット,20,0,現在モンスターがパープルスライムかつ創作属性が最多,10,通常進化
9,通常進化,adult,癒し,10,アークフェアリー,40,0,現在モンスターがミニフェアリーかつ癒し属性が最多,10,通常進化
10,通常進化,adult,パワー,11,ドラゴン,40,0,現在モンスターがプチドラかつパワー属性が最多,10,通常進化
11,通常進化,adult,知識,12,ウィザードビースト,40,0,現在モンスターがプチビーストかつ知識属性が最多,10,通常進化
12,通常進化,adult,創作,13,アートゴーレム,40,0,現在モンスターがミニスピリットかつ創作属性が最多,10,通常進化
13,通常進化,final,癒し,14,セラフィム,70,0,現在モンスターがアークフェアリーかつ癒し属性が最多,10,通常最終進化
14,通常進化,final,パワー,15,アークドラゴン,70,0,現在モンスターがドラゴンかつパワー属性が最多,10,通常最終進化
15,通常進化,final,知識,16,アークメイジ,70,0,現在モンスターがウィザードビーストかつ知識属性が最多,10,通常最終進化
16,通常進化,final,創作,17,クリエイター,70,0,現在モンスターがアートゴーレムかつ創作属性が最多,10,通常最終進化
17,ゴールドフォーム,baby,特別,18,ゴールデンスライム,5,7,現在進化段階がbaby相当かつ連続ログイン7日以上,20,通常進化後に判定
18,ゴールドフォーム,child,特別,19,ゴールデンプチドラゴン,20,14,現在進化段階がchild相当かつ連続ログイン14日以上,20,通常進化後に判定
19,ゴールドフォーム,adult,特別,20,ゴールドドラゴン,40,28,現在進化段階がadult相当かつ連続ログイン28日以上,20,通常進化後に判定
20,特別進化,adult,特別,21,シャドウスピリット,40,0,夜タスク達成50回以上,30,通常進化やゴールドより優先するかは要調整
