今回追加分,asset_id,current_path,category,screen,usage,recommended_w,recommended_h,,format,priority,notes,プロンプト
,bg_main_field_01,/img/background/bg_main_01.png,background,home|tasks|settings,通常画面の共通背景,1440,2560,1440*2560,png,high,SFC風の草原や村外れ。昼基調で統一,通常画面の共通背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560でSFC風の草原や村外れ。昼基調で統一の雰囲気でお願いします
,bg_tutorial_story_01,/img/background/bg_tutorial_01.png,background,tutorial|tutorial-egg,初回導線用背景,1440,2560,1440*2560,png,high,少し神秘的で柔らかい導入画面,初回導線用背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で少し神秘的で柔らかい導入画面の雰囲気でお願いします
,bg_birth_event_01,/img/background/birth-event.png,background,birth-event,孵化イベント専用背景,1440,2560,1440*2560,png,high,卵誕生に集中できる明るい演出背景,孵化イベント専用背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で卵誕生に集中できる明るい演出背景の雰囲気でお願いします
,bg_dex_archive_01,/img/background/dex_dex_detail.png,background,dex|dex_detail,図鑑系背景,1440,2560,1440*2560,png,medium,書庫や古文書っぽい世界観に寄せる,図鑑系背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で書庫や古文書っぽい世界観に寄せるの雰囲気でお願いします
,bg_end_event_01,/img/background/deinner.png,background,end-event,お別れイベント背景,1440,2560,1440*2560,png,medium,少し静かで感傷的な雰囲気,お別れイベント背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で少し静かで感傷的な雰囲気の雰囲気でお願いします
,bg_home_morning_01,/img/background/morning.png,background,home,朝ホーム差分背景,1440,2560,1440*2560,png,low,時間帯演出を強めるなら使用,朝ホーム差分背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で時間帯演出を強めるなら使用の雰囲気でお願いします
,bg_home_night_01,/img/background/night.png,background,home,夜ホーム差分背景,1440,2560,1440*2560,png,low,時間帯演出を強めるなら使用,夜ホーム差分背景の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1440*2560で時間帯演出を強めるなら使用の雰囲気でお願いします
,logo_title_main_01,/img/branding/logo_title_01.png,branding,tutorial|home,ゲームロゴ,1536,1024,1536*1024,png,high,SFC RPG風タイトルロゴ,ゲームロゴの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1536*1024でSFC RPG風タイトルロゴの雰囲気でお願いします
,logo_title_sub_01,/img/branding/logo_title_02.png,branding,tutorial|home,ロゴ差分または短縮版,1536,1024,1536*1024,png,medium,イベントやサブ画面用の差分があると便利,ロゴ差分または短縮版の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1536*1024でイベントやサブ画面用の差分があると便利の雰囲気でお願いします
,panel_title_wood_01,/img/ui_frame/panel_title_01.png,ui_frame,all,画面タイトル帯,1536,630,1536*630,png,high,木板や真鍮で統一すると世界観が締まる,画面タイトル帯の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1536*630で木板や真鍮で統一すると世界観が締まるの雰囲気でお願いします
