task_id,name,category,base_exp,power,heal,knowledge,create,default_enabled,recommended_order,is_night_task,notes
1,水を飲む,健康,2,0,2,0,0,TRUE,1,FALSE,初期セット
2,洗顔,生活,2,0,1,0,0,TRUE,2,FALSE,初期セット
3,歯磨き,生活,2,0,1,0,0,TRUE,3,FALSE,初期セット
4,外へ出る,健康,2,2,0,2,2,TRUE,4,FALSE,初期セット
5,ストレッチ,健康,3,2,1,0,0,TRUE,5,FALSE,初期セット
6,読書10分,成長,4,0,0,3,0,TRUE,7,FALSE,初期セット
7,昼食を食べた,生活,2,1,1,0,0,FALSE,8,FALSE,
8,朝食を食べた,生活,2,1,1,0,0,FALSE,9,FALSE,
9,着替える,生活,2,1,1,0,0,FALSE,10,FALSE,
10,ベッドメイキング,生活,2,2,2,0,0,FALSE,11,FALSE,
11,瞑想10分,メンタル,4,0,4,0,0,FALSE,12,FALSE,
12,日記を書く,メンタル,4,0,3,0,1,FALSE,13,FALSE,
13,お風呂に入る,健康,4,0,5,0,0,TRUE,14,TRUE,初期セット、夜ルーティン向け
14,掃除5分,生活,4,1,1,1,0,FALSE,15,FALSE,
15,洗濯,生活,5,1,1,0,0,FALSE,16,FALSE,
16,お皿洗い,生活,5,1,1,0,0,FALSE,17,TRUE,夜ルーティン向け
17,散歩,健康,5,3,1,0,0,FALSE,18,FALSE,
18,ヨガ,健康,5,3,1,0,1,FALSE,19,FALSE,
19,勉強15分,成長,6,0,0,4,0,FALSE,20,FALSE,
20,ブログを書く,創作,6,0,0,1,4,FALSE,21,FALSE,
21,絵を描く10分,創作,6,0,1,0,4,FALSE,22,FALSE,
22,筋トレ10分,健康,7,5,0,0,0,FALSE,23,FALSE,
23,ランニング,健康,8,5,1,0,1,FALSE,24,FALSE,
24,ダンス15分,健康,8,5,1,0,1,FALSE,25,FALSE,
25,ゲーム制作,創作,8,1,0,1,5,FALSE,26,FALSE,
26,会社に行く,生活,2,2,0,2,2,FALSE,27,FALSE,
27,学校に行く,生活,2,0,2,2,0,FALSE,28,FALSE,
28,宿題する,成長,2,0,2,2,2,FALSE,29,FALSE,
29,課題をする,成長,2,0,2,2,2,FALSE,30,FALSE,
30,部屋の換気,生活,2,1,1,0,0,FALSE,31,FALSE,
31,ゴミ出し,生活,3,1,1,0,0,FALSE,32,FALSE,
32,机を整理,生活,4,1,1,2,0,FALSE,33,FALSE,
33,料理をする,生活,5,1,2,0,1,FALSE,34,FALSE,
34,食器を片付ける,生活,3,1,1,0,0,FALSE,35,TRUE,夜ルーティン向け
35,水筒を洗う,生活,2,1,1,0,0,FALSE,36,TRUE,夜ルーティン向け
36,早起きする,健康,5,2,2,1,0,FALSE,37,FALSE,
37,夜更かししない,健康,4,1,2,1,0,FALSE,38,TRUE,夜ルーティン向け
38,深呼吸する,メンタル,2,0,3,0,0,FALSE,39,FALSE,
39,ありがとう日記を書く,メンタル,3,0,3,1,0,FALSE,40,TRUE,夜ルーティン向け
40,挨拶を3人以上する,メンタル,4,0,4,0,1,FALSE,41,FALSE,
41,新しいことを学ぶ,成長,5,0,0,3,1,FALSE,42,FALSE,
42,動画で勉強,成長,4,0,0,3,0,FALSE,43,FALSE,
43,記事を読む,成長,3,0,0,2,0,FALSE,44,FALSE,
44,アイデアメモを書く,創作,3,0,0,1,3,FALSE,45,FALSE,
45,写真を撮る,創作,4,0,1,0,3,FALSE,46,FALSE,
46,音楽を作る,創作,6,0,0,1,4,FALSE,47,FALSE,
47,プログラムを書く,創作,7,1,0,2,4,FALSE,48,FALSE,
48,明日の準備をする,成長,4,2,0,1,1,FALSE,49,FALSE,
49,メール整理,生活,3,0,1,2,0,FALSE,50,FALSE,
50,洗濯を回す,生活,3,1,1,1,0,FALSE,51,FALSE,
51,お化粧をする,生活,2,1,1,0,0,FALSE,6,FALSE,
52,シャワーを浴びる,健康,3,0,3,0,0,FALSE,53,FALSE,
53,洗濯を干す,生活,3,1,1,1,0,FALSE,54,FALSE,
54,夕食を食べた,生活,2,1,1,0,0,FALSE,55,FALSE,
55,体操をする,健康,8,5,1,0,1,FALSE,56,FALSE,
