item_id,section,item_type,display_name,short_description,price_monta_coins,price_free_coins,currency_type,availability,rarity,is_paid_only,is_consumable,grant_type,grant_value,asset_id,current_path,recommended_w,recommended_h,format,priority,notes
paid_bg_spring_meadow_01,spring_event,background,春風の花畑,桜と若草がゆれる春イベント背景,500,0,paid_coin,event_limited,rare,yes,no,background,paid_bg_spring_meadow_01,bg_spring_meadow_01,/img/background/bg_spring_meadow_01.png,1440,2560,png,high,ホームや主要画面に使う縦長背景。GBA風ピクセルRPGの明るい花畑
paid_bg_spring_stream_01,spring_event,background,せせらぎの春小道,小川と花びらが流れる春の小道背景,500,0,paid_coin,event_limited,rare,yes,no,background,paid_bg_spring_stream_01,bg_spring_stream_01,/img/background/bg_spring_stream_01.png,1440,2560,png,medium,少し落ち着いた春背景。夜背景との差別化用
paid_frame_clover_01,spring_event,frame,クローバーフレーム,若草色と小さなクローバーのやさしいフレーム,400,0,paid_coin,event_limited,rare,yes,no,frame,paid_frame_clover_01,frame_clover_01,/img/deco_frame/frame_clover_01.png,960,640,png,medium,春イベントの低彩度グリーン系。ショップ/持ち物でのプレビューにも使う
paid_deco_sakura_petals_01,spring_event,decoration,花びらのかざり,ホームにふわっと春感を足す花びらデコ,500,0,paid_coin,event_limited,normal,yes,no,decoration,paid_deco_sakura_petals_01,deco_sakura_petals_01,/img/decoration/deco_sakura_petals_01.png,1024,1024,png,medium,透過PNG。ホームのモンスター周辺や背景上に重ねる想定
paid_deco_picnic_basket_01,spring_event,decoration,ピクニックバスケット,モンスターの横に置ける春の小物デコ,600,0,paid_coin,event_limited,normal,yes,no,decoration,paid_deco_picnic_basket_01,deco_picnic_basket_01,/img/decoration/deco_picnic_basket_01.png,1024,1024,png,medium,透過PNG。下部に影を含めると置物感が出る
paid_deco_flower_lantern_01,spring_event,decoration,花灯りランタン,夜背景にも合う花模様のランタンデコ,500,0,paid_coin,event_limited,rare,yes,no,decoration,paid_deco_flower_lantern_01,deco_flower_lantern_01,/img/decoration/deco_flower_lantern_01.png,1024,1024,png,low,透過PNG。夜の春イベント演出用
paid_spring_egg_01,spring_event,event_egg,春の芽吹きたまご,花模様のたまご。春イベントモンスターに出会える,500,0,paid_coin,event_limited,rare,yes,yes,event_egg,spring_monster_pool_01,monster_spring_egg_01,/img/monster/event_spring_egg_01.png,1024,1024,png,high,イベントショップで交換する想定の春イベント卵
paid_boost_exp_20_1h_01,booster,booster,EXPブースト 1時間,1時間だけ獲得EXPが20%アップ,0,100,free_coin,always,normal,no,yes,booster,exp_boost_20_1h,icon_boost_exp_20_01,/img/icon/icon_boost_exp_20_01.png,512,512,png,medium,消耗品。重複不可で時間延長のみ推奨
paid_boost_exp_20_3h_01,booster,booster,EXPブースト 3時間,3時間だけ獲得EXPが20%アップ,0,300,free_coin,always,rare,no,yes,booster,exp_boost_20_3h,icon_boost_exp_20_03,/img/icon/icon_boost_exp_20_03.png,512,512,png,medium,1時間版より少し割安
paid_boost_exp_20_24h_01,booster,booster,EXPブースト 24時間,24時間だけ獲得EXPが20%アップ,100,0,paid_coin,always,rare,no,yes,booster,exp_boost_20_24h,icon_boost_exp_20_1day,/img/icon/icon_boost_exp_20_1day.png,512,512,png,medium,無料版より長く使える有料版。
paid_boost_exp_20_72h_01,booster,booster,EXPブースト 72時間,72時間だけ獲得EXPが20%アップ,300,0,paid_coin,always,rare,no,yes,booster,exp_boost_20_72h,icon_boost_exp_20_3day,/img/icon/icon_boost_exp_20_3day.png,512,512,png,medium,無料版より長く使える有料版。
power_charm_01,evergreen,charm,ちからのおまもり,次の3タスクは Power だけが伸びるおまもりです。,0,300,free_coin,always,normal,no,yes,attribute_charm,power:3,icon_charm_power_free_01,/img/item/charm/icon_charm_power_free_01.png,512,512,png,medium,通常ショップのフリーコイン用おまもり
heal_charm_01,evergreen,charm,いやしのおまもり,次の3タスクは Heal だけが伸びるおまもりです。,0,300,free_coin,always,normal,no,yes,attribute_charm,heal:3,icon_charm_heal_free_01,/img/item/charm/icon_charm_heal_free_01.png,512,512,png,medium,通常ショップのフリーコイン用おまもり
knowledge_charm_01,evergreen,charm,ちえのおまもり,次の3タスクは Knowledge だけが伸びるおまもりです。,0,300,free_coin,always,normal,no,yes,attribute_charm,knowledge:3,icon_charm_knowledge_free_01,/img/item/charm/icon_charm_knowledge_free_01.png,512,512,png,medium,通常ショップのフリーコイン用おまもり
create_charm_01,evergreen,charm,ひらめきのおまもり,次の3タスクは Create だけが伸びるおまもりです。,0,300,free_coin,always,normal,no,yes,attribute_charm,create:3,icon_charm_create_free_01,/img/item/charm/icon_charm_create_free_01.png,512,512,png,medium,通常ショップのフリーコイン用おまもり
paid_charm_power_01,evergreen,charm,ちからのおまもり+,次の10タスクは Power だけが伸びる、モンタコイン用の特別なおまもりです。,300,0,paid_coin,always,rare,yes,yes,attribute_charm,power:10,icon_charm_power_01,/img/item/charm/icon_charm_power_01.png,512,512,png,high,無料版より長く使える有料版。将来の paid coin 消費先候補
