37 雨宿りたまご	sway	/Users/apple/Projects/taskgame/public/img/monster/event_june_egg_01_sway_4f_style16bit_fix_02.png
38 まめしば	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_baby_01_walk_4f_style16bit_fix_02.png
38 まめしば	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_baby_01_happy_4f_style16bit_fix_02.png
39 黒まめしば	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_baby_02_walk_4f_style16bit_fix_02.png
39 黒まめしば	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_baby_02_happy_4f_style16bit_fix_02.png
40 おかげ犬	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_01_walk_4f_style16bit_fix_02.png
40 おかげ犬	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_01_happy_4f_style16bit_fix_02.png
41 おつかいいぬ	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_02_walk_4f_style16bit_fix_02.png
41 おつかいいぬ	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_02_happy_4f_style16bit_fix_02.png
42 きつねみこ	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_03_walk_4f_style16bit_fix_02.png
42 きつねみこ	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_child_03_happy_4f_style16bit_fix_02.png
44 こまいぬ	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_01_walk_4f_style16bit_fix_02.png
44 こまいぬ	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_01_happy_4f_style16bit_fix_02.png
45 けろべろす	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_02_walk_4f_style16bit_fix_02.png
45 けろべろす	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_02_happy_4f_style16bit_fix_02.png
46 梅雨の神使	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_03_walk_4f_style16bit_fix_02.png
46 梅雨の神使	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_03_happy_4f_style16bit_fix_02.png
47 狐の神主	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_04_walk_4f_style16bit_fix_02.png
47 狐の神主	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_adult_04_happy_4f_style16bit_fix_02.png
48 守り神	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_01_walk_4f_style16bit_fix_02.png
48 守り神	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_01_happy_4f_style16bit_fix_02.png
49 神社ケロベロス	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_02_walk_4f_style16bit_fix_02.png
49 神社ケロベロス	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_02_happy_4f_style16bit_fix_02.png
50 女狐神主	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_03_walk_4f_style16bit_fix_02.png
50 女狐神主	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_03_happy_4f_style16bit_fix_02.png
51 狐の雷神	walk	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_04_walk_4f_style16bit_fix_02.png
51 狐の雷神	happy	/Users/apple/Projects/taskgame/public/img/monster/event_june_final_04_happy_4f_style16bit_fix_02.png
