task_id,name,category,base_exp,power,heal,knowledge,create,default_enabled,recommended_order,is_night_task,notes
1,水を飲む,健康,5,0,2,0,0,TRUE,1,FALSE,初期セット
2,洗顔,生活,5,0,1,0,0,TRUE,2,FALSE,初期セット
3,歯磨き,生活,5,0,1,0,0,TRUE,3,FALSE,初期セット
4,外へ出る,健康,5,2,0,2,2,TRUE,4,FALSE,初期セット
5,ストレッチ,健康,8,2,1,0,0,TRUE,5,FALSE,初期セット
6,読書10分,成長,10,0,0,3,0,TRUE,6,FALSE,初期セット
7,片付け10分,生活,10,1,1,1,0,TRUE,7,FALSE,初期セット
8,朝食,生活,5,1,1,0,0,FALSE,8,FALSE,
9,着替える,生活,5,1,1,0,0,FALSE,9,FALSE,
10,ベッドメイキング,生活,5,2,2,0,0,FALSE,10,FALSE,
11,瞑想10分,メンタル,10,0,4,0,0,FALSE,11,FALSE,
12,日記を書く,メンタル,10,0,3,0,1,FALSE,12,FALSE,
13,お風呂に入る,健康,10,0,5,0,0,FALSE,13,TRUE,夜ルーティン向け
14,掃除5分,生活,10,1,1,1,0,FALSE,14,FALSE,
15,洗濯,生活,12,1,1,0,0,FALSE,15,FALSE,
16,お皿洗い,生活,12,1,1,0,0,FALSE,16,TRUE,夜ルーティン向け
17,散歩,健康,12,3,1,0,0,FALSE,17,FALSE,
18,ヨガ,健康,12,3,1,0,1,FALSE,18,FALSE,
19,勉強15分,成長,15,0,0,4,0,FALSE,19,FALSE,
20,ブログ作業,創作,15,0,0,1,4,FALSE,20,FALSE,
21,絵を描く10分以上,創作,15,0,1,0,4,FALSE,21,FALSE,
22,筋トレ10分,健康,18,5,0,0,0,FALSE,22,FALSE,
23,ランニング,健康,20,5,1,0,1,FALSE,23,FALSE,
24,ダンス15分,健康,20,5,1,0,1,FALSE,24,FALSE,
25,ゲーム制作,創作,20,1,0,1,5,FALSE,25,FALSE,
26,会社に行く,生活,5,2,0,2,2,FALSE,26,FALSE,
27,学校に行く,生活,5,0,2,2,0,FALSE,27,FALSE,
28,宿題する,成長,5,0,2,2,2,FALSE,28,FALSE,
29,課題をする,成長,5,0,2,2,2,FALSE,29,FALSE,
30,部屋の換気,生活,5,1,1,0,0,FALSE,30,FALSE,
31,ゴミ出し,生活,8,1,1,0,0,FALSE,31,FALSE,
32,机を整理,生活,10,1,1,2,0,FALSE,32,FALSE,
33,料理をする,生活,12,1,2,0,1,FALSE,33,FALSE,
34,食器を片付ける,生活,8,1,1,0,0,FALSE,34,TRUE,夜ルーティン向け
35,水筒を洗う,生活,5,1,1,0,0,FALSE,35,TRUE,夜ルーティン向け
36,早起きする,健康,12,2,2,1,0,FALSE,36,FALSE,
37,夜更かししない,健康,10,1,2,1,0,FALSE,37,TRUE,夜ルーティン向け
38,深呼吸する,メンタル,5,0,3,0,0,FALSE,38,FALSE,
39,感謝を書く,メンタル,8,0,3,1,0,FALSE,39,TRUE,夜ルーティン向け
40,ポジティブ日記,メンタル,10,0,4,0,1,FALSE,40,TRUE,夜ルーティン向け
41,新しいことを学ぶ,成長,12,0,0,3,1,FALSE,41,FALSE,
42,動画で勉強,成長,10,0,0,3,0,FALSE,42,FALSE,
43,記事を読む,成長,8,0,0,2,0,FALSE,43,FALSE,
44,アイデアメモを書く,創作,8,0,0,1,3,FALSE,44,FALSE,
45,写真を撮る,創作,10,0,1,0,3,FALSE,45,FALSE,
46,音楽を作る,創作,15,0,0,1,4,FALSE,46,FALSE,
47,プログラムを書く,創作,18,1,0,2,4,FALSE,47,FALSE,
48,副業作業30分,成長,20,2,0,3,2,FALSE,48,FALSE,
49,メール整理,生活,8,0,1,2,0,FALSE,49,FALSE,
50,部屋を5分整える,生活,8,1,1,1,0,FALSE,50,FALSE,
